review_text,sentiment
Nothing worked very frustrating terrible experience,negative
camera is terrible photos are blurry and grainy,negative
camera quality is awful pictures are dull and dark,negative
camera is bad photos are always blurry and noisy,negative
camera takes poor photos very grainy and unclear,negative
camera quality is terrible images are muddy and dark,negative
camera is disappointing photos come out blurry always,negative
camera is dull and unclear very poor image quality,negative
camera is terrible selfies look grainy and washed out,negative
photo quality is awful camera is very disappointing,negative
camera is bad very grainy and low quality photos,negative
battery life is terrible drains very fast,negative
battery drains extremely fast barely lasts few hours,negative
battery life is awful dies within a few hours,negative
battery is poor drains too quickly very frustrating,negative
battery is terrible needs charging multiple times daily,negative
battery life is dreadful drains overnight very bad,negative
battery backup is terrible very short life span,negative
battery drains rapidly even with minimal usage,negative
screen is dull and dim very difficult to see,negative
display is blurry and washed out poor quality,negative
screen quality is terrible colors look dull and faded,negative
display is dim and unclear very hard to read,negative
screen is dark and blurry very poor resolution,negative
display has poor contrast very dull and washed,negative
screen is scratchy and dim terrible quality,negative
performance is terrible lags constantly very frustrating,negative
phone freezes all the time terrible performance,negative
performance is awful hangs and crashes frequently,negative
processor is slow everything lags terribly,negative
performance is dreadful app crashes constantly,negative
phone is sluggish and unresponsive terrible experience,negative
sound quality is terrible muffled and very unclear,negative
speaker is too quiet and very poor quality,negative
audio quality is awful very distorted and muffled,negative
sound is terrible crackling and very poor quality,negative
speaker quality is bad very quiet and muffled,negative
design is ugly and cheap looks very low quality,negative
build quality is terrible feels very flimsy and cheap,negative
design is unattractive very clunky and heavy,negative
build is poor and flimsy feels about to break,negative
design is bad very bulky and uncomfortable to hold,negative
price is too expensive very overpriced for this quality,negative
delivery was very slow took three weeks to arrive,negative
price is outrageous terrible value for money,negative
delivery was late and packaging was completely damaged,negative
price is high very overpriced compared to alternatives,negative
shipping was terrible arrived damaged and very late,negative
food was cold and completely tasteless very disappointing,negative
service was terrible staff were rude and very slow,negative
ambiance is horrible very noisy and uncomfortable,negative
food quality is terrible taste is awful and bland,negative
food is stale and tasteless highly avoid this place,negative
service is awful staff are rude and very unhelpful,negative
ambiance is terrible dirty and very depressing place,negative
room was filthy and very uncomfortable noisy all night,negative
location is terrible very far from everything inconvenient,negative
room is dirty and small very uncomfortable experience,negative
location is bad very far from city centre,negative
quality is terrible very flimsy and breaks easily,negative
features are missing many advertised things not working,negative
quality is poor very cheap material feels awful,negative
features are broken most functions do not work,negative
quality is awful very poorly made and fragile,negative
interface is confusing and very difficult to navigate,negative
connectivity is terrible wifi drops constantly unreliable,negative
storage is too small runs out of space quickly,negative
light is dull and very dim hard to see anything,negative
lighting is terrible very dim and insufficient,negative
light quality is poor very dim and flickering,negative
lights are broken and very dull not working well,negative
The product is okay nothing really special about it,neutral
Average quality for the price expected a bit more,neutral
Decent product but nothing extraordinary or impressive,neutral
Works as described neither impressed nor disappointed at all,neutral
Product is fine delivery was on time as expected,neutral
It is alright does what it says on the box,neutral
Neither good nor bad just an average product overall,neutral
Acceptable quality gets the job done nothing more,neutral
Normal product as expected from this price range,neutral
Standard quality product not spectacular but not bad,neutral
Average experience overall product works as expected,neutral
Mediocre product does the job but nothing more,neutral
So so product meets very basic expectations only,neutral
Okay product not great but does the basic job,neutral
Average product gets the basic job done fine,neutral
camera is okay takes average photos nothing special,neutral
camera quality is average not great not terrible,neutral
camera is decent photos are acceptable quality,neutral
camera takes okay photos nothing remarkable at all,neutral
camera is average works fine for normal use,neutral
photo quality is okay acceptable for daily use,neutral
battery life is okay lasts a full day just fine,neutral
battery is average neither great nor poor really,neutral
battery life is acceptable works for normal usage,neutral
battery is decent nothing outstanding but okay,neutral
battery lasts average amount of time okay,neutral
screen is okay average brightness and resolution,neutral
display is average nothing special but works fine,neutral
screen quality is okay acceptable for normal use,neutral
display is decent average colors and clarity,neutral
screen is average not vibrant but not terrible,neutral
performance is average works fine for basic tasks,neutral
phone performance is okay nothing too impressive,neutral
performance is decent handles most tasks adequately,neutral
processor is average works okay for normal use,neutral
performance is okay nothing exceptional but adequate,neutral
sound quality is average works for normal listening,neutral
speaker is okay not loud but not too quiet either,neutral
audio quality is average acceptable for calls,neutral
sound is okay meets basic audio requirements,neutral
design is average looks okay nothing special,neutral
build quality is average feels neither cheap nor premium,neutral
design is decent average looking nothing remarkable,neutral
build is okay functional but nothing stylish,neutral
price is reasonable average market rate nothing special,neutral
delivery was on time product arrived as expected,neutral
price is okay average nothing particularly cheap or expensive,neutral
shipping was normal arrived in expected timeframe,neutral
food was okay not bad but nothing memorable,neutral
service was adequate staff were polite enough,neutral
ambiance is average neutral atmosphere nothing special,neutral
food quality is average okay taste nothing remarkable,neutral
food is okay nothing special but not bad either,neutral
service is okay meets basic expectations nothing more,neutral
ambiance is okay average atmosphere nothing exciting,neutral
room was acceptable basic amenities all present,neutral
location was convenient enough nothing special,neutral
quality is average expected at this price range,neutral
features are present but nothing really stands out,neutral
quality is okay decent material nothing exceptional,neutral
features work as advertised nothing more nothing less,neutral
interface is functional but could be more intuitive,neutral
connectivity is okay signal is acceptable nothing great,neutral
storage is sufficient for average use nothing more,neutral
light is okay average brightness nothing special,neutral
lighting is average works for normal needs,neutral
light quality is okay acceptable for basic use,neutral
lights work fine average quality nothing impressive,neutral
